##;ENG;ENG;ENG;ENG;ENG;ENG;ENG;ENG;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV3978;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;;;X;
PROV3979;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;;;X;
PROV3980;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;;;X;
PROV3981;Flin Flon;Flin Flon;Flin Flon;Flin Flon;Flin Flon;Flin Flon;Flin Flon;Flin Flon;;;X;
PROV3982;Winnipeg;Winnipeg;Winnipeg;Winnipeg;Winnipeg;Winnipeg;Winnipeg;Winnipeg;;;X;
PROV3983;Norway House;Norway House;Norway House;Norway House;Norway House;Norway House;Norway House;Norway House;;;X;
PROV3984;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;;;X;
PROV3985;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;;;X;
PROV3986;Brochet;Brochet;Brochet;Brochet;Brochet;Brochet;Brochet;Brochet;;;X;
PROV3987;The Pas;The Pas;The Pas;The Pas;The Pas;The Pas;The Pas;The Pas;;;X;
PROV3988;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;;;X;
PROV3989;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;;;X;
PROV3990;Churchill;Churchill;Churchill;Churchill;Churchill;Churchill;Churchill;Churchill;;;X;
PROV3991;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;;;X;
PROV3992;York Factory;York Factory;York Factory;York Factory;York Factory;York Factory;York Factory;York Factory;;;X;
PROV3993;Arborg;Arborg;Arborg;Arborg;Arborg;Arborg;Arborg;Arborg;;;X;
PROV3994;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;;;X;
PROV3995;Berens River;Berens River;Berens River;Berens River;Berens River;Berens River;Berens River;Berens River;;;X;
PROV3996;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;;;X;
PROV3997;Winkler;Winkler;Winkler;Winkler;Winkler;Winkler;Winkler;Winkler;;;X;
PROV3998;Saskatoon;Saskatoon;Saskatoon;Saskatoon;Saskatoon;Saskatoon;Saskatoon;Saskatoon;;;X;
PROV3999;Regina;Regina;Regina;Regina;Regina;Regina;Regina;Regina;;;X;
PROV4000;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;;;X;
PROV4001;La Loche;La Loche;La Loche;La Loche;La Loche;La Loche;La Loche;La Loche;;;X;
PROV4002;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;;;X;
PROV4003;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;;;X;
PROV4004;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;;;X;
PROV4005;Southend;Southend;Southend;Southend;Southend;Southend;Southend;Southend;;;X;
PROV4006;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;;;X;
PROV4007;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;;;X;
PROV4008;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;;;X;
PROV4009;Battleford;Battleford;Battleford;Battleford;Battleford;Battleford;Battleford;Battleford;;;X;
PROV4010;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;;;X;
PROV4011;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;;;X;
PROV4012;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;;;X;
PROV4013;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;;;X;
PROV4014;Yellowknife;Yellowknife;Yellowknife;Yellowknife;Yellowknife;Yellowknife;Yellowknife;Yellowknife;;;X;
PROV4015;Rankin Inlet;Rankin Inlet;Rankin Inlet;Rankin Inlet;Rankin Inlet;Rankin Inlet;Rankin Inlet;Rankin Inlet;;;X;
PROV4016;Hay River;Hay River;Hay River;Hay River;Hay River;Hay River;Hay River;Hay River;;;X;
PROV4017;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;;;X;
PROV4018;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;;;X;
PROV4019;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;;;X;
PROV4020;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;;;X;
PROV4021;Baker Lake;Baker Lake;Baker Lake;Baker Lake;Baker Lake;Baker Lake;Baker Lake;Baker Lake;;;X;
PROV4022;Coral Harbour;Coral Harbour;Coral Harbour;Coral Harbour;Coral Harbour;Coral Harbour;Coral Harbour;Coral Harbour;;;X;
PROV4023;Pond Inlet;Pond Inlet;Pond Inlet;Pond Inlet;Pond Inlet;Pond Inlet;Pond Inlet;Pond Inlet;;;X;
PROV4024;Coats Island;Coats Island;Coats Island;Coats Island;Coats Island;Coats Island;Coats Island;Coats Island;;;X;
PROV4025;Mansel Island;Mansel Island;Mansel Island;Mansel Island;Mansel Island;Mansel Island;Mansel Island;Mansel Island;;;X;
PROV4026;Ottawa Islands;Ottawa Islands;Ottawa Islands;Ottawa Islands;Ottawa Islands;Ottawa Islands;Ottawa Islands;Ottawa Islands;;;X;
PROV4027;South Camp;South Camp;South Camp;South Camp;South Camp;South Camp;South Camp;South Camp;;;X;
PROV4028;Akimiski Island;Akimiski Island;Akimiski Island;Akimiski Island;Akimiski Island;Akimiski Island;Akimiski Island;Akimiski Island;;;X;
PROV4029;Whitehorse;Whitehorse;Whitehorse;Whitehorse;Whitehorse;Whitehorse;Whitehorse;Whitehorse;;;X;
PROV4030;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;;;X;
PROV4031;Teslin;Teslin;Teslin;Teslin;Teslin;Teslin;Teslin;Teslin;;;X;
PROV4032;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;;;X;
PROV4033;Dillingham;Dillingham;Dillingham;Dillingham;Dillingham;Dillingham;Dillingham;Dillingham;;;X;
PROV4034;Anchorage;Anchorage;Anchorage;Anchorage;Anchorage;Anchorage;Anchorage;Anchorage;;;X;
PROV4035;Fairbanks;Fairbanks;Fairbanks;Fairbanks;Fairbanks;Fairbanks;Fairbanks;Fairbanks;;;X;
PROV4036;Juneau;Juneau;Juneau;Juneau;Juneau;Juneau;Juneau;Juneau;;;X;
PROV4037;Haines;Haines;Haines;Haines;Haines;Haines;Haines;Haines;;;X;
PROV4038;Yakutat;Yakutat;Yakutat;Yakutat;Yakutat;Yakutat;Yakutat;Yakutat;;;X;
PROV4039;Sitka;Sitka;Sitka;Sitka;Sitka;Sitka;Sitka;Sitka;;;X;
PROV4040;Angoon;Angoon;Angoon;Angoon;Angoon;Angoon;Angoon;Angoon;;;X;
PROV4041;Taku Harbor;Taku Harbor;Taku Harbor;Taku Harbor;Taku Harbor;Taku Harbor;Taku Harbor;Taku Harbor;;;X;
PROV4042;Petersburg, AL;Petersburg, AL;Petersburg, AL;Petersburg, AL;Petersburg, AL;Petersburg, AL;Petersburg, AL;Petersburg, AL;;;X;
PROV4043;Craig;Craig;Craig;Craig;Craig;Craig;Craig;Craig;;;X;
PROV4044;Ketchikan;Ketchikan;Ketchikan;Ketchikan;Ketchikan;Ketchikan;Ketchikan;Ketchikan;;;X;
PROV4045;Valdez;Valdez;Valdez;Valdez;Valdez;Valdez;Valdez;Valdez;;;X;
PROV4046;Old Tyonek;Old Tyonek;Old Tyonek;Old Tyonek;Old Tyonek;Old Tyonek;Old Tyonek;Old Tyonek;;;X;
PROV4047;Quinhagak;Quinhagak;Quinhagak;Quinhagak;Quinhagak;Quinhagak;Quinhagak;Quinhagak;;;X;
PROV4048;Bethel;Bethel;Bethel;Bethel;Bethel;Bethel;Bethel;Bethel;;;X;
PROV4049;Nome;Nome;Nome;Nome;Nome;Nome;Nome;Nome;;;X;
PROV4050;Shageluk;Shageluk;Shageluk;Shageluk;Shageluk;Shageluk;Shageluk;Shageluk;;;X;
PROV4051;Kashegelok;Kashegelok;Kashegelok;Kashegelok;Kashegelok;Kashegelok;Kashegelok;Kashegelok;;;X;
PROV4052;Nenana;Nenana;Nenana;Nenana;Nenana;Nenana;Nenana;Nenana;;;X;
PROV4053;Naknek;Naknek;Naknek;Naknek;Naknek;Naknek;Naknek;Naknek;;;X;
PROV4054;Kodiak;Kodiak;Kodiak;Kodiak;Kodiak;Kodiak;Kodiak;Kodiak;;;X;
PROV4055;Chignik;Chignik;Chignik;Chignik;Chignik;Chignik;Chignik;Chignik;;;X;
PROV4056;Sand Point;Sand Point;Sand Point;Sand Point;Sand Point;Sand Point;Sand Point;Sand Point;;;X;
PROV4057;Unalaska;Unalaska;Unalaska;Unalaska;Unalaska;Unalaska;Unalaska;Unalaska;;;X;
PROV4058;Attu Station;Attu Station;Attu Station;Attu Station;Attu Station;Attu Station;Attu Station;Attu Station;;;X;
PROV4059;False Pass;False Pass;False Pass;False Pass;False Pass;False Pass;False Pass;False Pass;;;X;
PROV4060;Nikolski;Nikolski;Nikolski;Nikolski;Nikolski;Nikolski;Nikolski;Nikolski;;;X;
PROV4061;Atka;Atka;Atka;Atka;Atka;Atka;Atka;Atka;;;X;
PROV4062;Adak;Adak;Adak;Adak;Adak;Adak;Adak;Adak;;;X;
PROV4063;St. George, AL;St. George, AL;St. George, AL;St. George, AL;St. George, AL;St. George, AL;St. George, AL;St. George, AL;;;X;
PROV4064;Mekoryuk;Mekoryuk;Mekoryuk;Mekoryuk;Mekoryuk;Mekoryuk;Mekoryuk;Mekoryuk;;;X;
PROV4065;Gambell;Gambell;Gambell;Gambell;Gambell;Gambell;Gambell;Gambell;;;X;
PROV4066;St. Matthew Island;St. Matthew Island;St. Matthew Island;St. Matthew Island;St. Matthew Island;St. Matthew Island;St. Matthew Island;St. Matthew Island;;;X;
PROV4067;Kiska;Kiska;Kiska;Kiska;Kiska;Kiska;Kiska;Kiska;;;X;
PROV4068;Vancouver;Vancouver;Vancouver;Vancouver;Vancouver;Vancouver;Vancouver;Vancouver;;;X;
PROV4069;Fort St. John;Fort St. John;Fort St. John;Fort St. John;Fort St. John;Fort St. John;Fort St. John;Fort St. John;;;X;
PROV4070;Victoria;Victoria;Victoria;Victoria;Victoria;Victoria;Victoria;Victoria;;;X;
PROV4071;Kelowna;Kelowna;Kelowna;Kelowna;Kelowna;Kelowna;Kelowna;Kelowna;;;X;
PROV4072;Prince Rupert;Prince Rupert;Prince Rupert;Prince Rupert;Prince Rupert;Prince Rupert;Prince Rupert;Prince Rupert;;;X;
PROV4073;Prince George;Prince George;Prince George;Prince George;Prince George;Prince George;Prince George;Prince George;;;X;
PROV4074;Surrey;Surrey;Surrey;Surrey;Surrey;Surrey;Surrey;Surrey;;;X;
PROV4075;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;;;X;
PROV4076;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;;;X;
PROV4077;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;;;X;
PROV4078;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;;;X;
PROV4079;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;;;X;
PROV4080;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;;;X;
PROV4081;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;;;X;
PROV4082;Squamish;Squamish;Squamish;Squamish;Squamish;Squamish;Squamish;Squamish;;;X;
PROV4083;Summerland;Summerland;Summerland;Summerland;Summerland;Summerland;Summerland;Summerland;;;X;
PROV4084;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;;;X;
PROV4085;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;;;X;
PROV4086;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;;;X;
PROV4087;Stewart;Stewart;Stewart;Stewart;Stewart;Stewart;Stewart;Stewart;;;X;
PROV4088;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;;;X;
PROV4089;Atlin;Atlin;Atlin;Atlin;Atlin;Atlin;Atlin;Atlin;;;X;
PROV4090;Bend;Bend;Bend;Bend;Bend;Bend;Bend;Bend;;;X;
PROV4091;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;;;X;
PROV4092;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;;;X;
PROV4093;Bennett;Bennett;Bennett;Bennett;Bennett;Bennett;Bennett;Bennett;;;X;
PROV4094;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;;;X;
PROV4095;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;;;X;
PROV4096;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;;;X;
PROV4097;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;;;X;
PROV4098;Grande Prairie;Grande Prairie;Grande Prairie;Grande Prairie;Grande Prairie;Grande Prairie;Grande Prairie;Grande Prairie;;;X;
PROV4099;Edmonton;Edmonton;Edmonton;Edmonton;Edmonton;Edmonton;Edmonton;Edmonton;;;X;
PROV4100;Calgary;Calgary;Calgary;Calgary;Calgary;Calgary;Calgary;Calgary;;;X;
PROV4101;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;;;X;
PROV4102;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;;;X;
PROV4103;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;;;X;
PROV4104;Lloydminster;Lloydminster;Lloydminster;Lloydminster;Lloydminster;Lloydminster;Lloydminster;Lloydminster;;;X;
PROV4105;Leduc;Leduc;Leduc;Leduc;Leduc;Leduc;Leduc;Leduc;;;X;
PROV4106;Brooks;Brooks;Brooks;Brooks;Brooks;Brooks;Brooks;Brooks;;;X;
PROV4107;Hinton;Hinton;Hinton;Hinton;Hinton;Hinton;Hinton;Hinton;;;X;
PROV4108;Slave Lake;Slave Lake;Slave Lake;Slave Lake;Slave Lake;Slave Lake;Slave Lake;Slave Lake;;;X;
PROV4109;Peace River;Peace River;Peace River;Peace River;Peace River;Peace River;Peace River;Peace River;;;X;
PROV4110;Meander River;Meander River;Meander River;Meander River;Meander River;Meander River;Meander River;Meander River;;;X;
PROV4111;Bonnyville;Bonnyville;Bonnyville;Bonnyville;Bonnyville;Bonnyville;Bonnyville;Bonnyville;;;X;
PROV4112;High Level;High Level;High Level;High Level;High Level;High Level;High Level;High Level;;;X;
PROV4113;Fairview;Fairview;Fairview;Fairview;Fairview;Fairview;Fairview;Fairview;;;X;
PROV4114;Fort Vermilion;Fort Vermilion;Fort Vermilion;Fort Vermilion;Fort Vermilion;Fort Vermilion;Fort Vermilion;Fort Vermilion;;;X;
PROV4115;Fort McMurray;Fort McMurray;Fort McMurray;Fort McMurray;Fort McMurray;Fort McMurray;Fort McMurray;Fort McMurray;;;X;
PROV4116;Fort Chipewyan;Fort Chipewyan;Fort Chipewyan;Fort Chipewyan;Fort Chipewyan;Fort Chipewyan;Fort Chipewyan;Fort Chipewyan;;;X;
PROV4117;Bitumount;Bitumount;Bitumount;Bitumount;Bitumount;Bitumount;Bitumount;Bitumount;;;X;
PROV4118;Yakima;Yakima;Yakima;Yakima;Yakima;Yakima;Yakima;Yakima;;;X;
PROV4119;Seattle;Seattle;Seattle;Seattle;Seattle;Seattle;Seattle;Seattle;;;X;
PROV4120;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;Tacoma;;;X;
PROV4121;Spokane;Spokane;Spokane;Spokane;Spokane;Spokane;Spokane;Spokane;;;X;
PROV4122;Port Angeles;Port Angeles;Port Angeles;Port Angeles;Port Angeles;Port Angeles;Port Angeles;Port Angeles;;;X;
PROV4123;Olympia;Olympia;Olympia;Olympia;Olympia;Olympia;Olympia;Olympia;;;X;
PROV4124;Aberdeen, WA;Aberdeen, WA;Aberdeen, WA;Aberdeen, WA;Aberdeen, WA;Aberdeen, WA;Aberdeen, WA;Aberdeen, WA;;;X;
PROV4125;Longview, WA;Longview, WA;Longview, WA;Longview, WA;Longview, WA;Longview, WA;Longview, WA;Longview, WA;;;X;
PROV4126;Walla Walla;Walla Walla;Walla Walla;Walla Walla;Walla Walla;Walla Walla;Walla Walla;Walla Walla;;;X;
PROV4127;Colville;Colville;Colville;Colville;Colville;Colville;Colville;Colville;;;X;
PROV4128;Republic;Republic;Republic;Republic;Republic;Republic;Republic;Republic;;;X;
PROV4129;Wenatchee;Wenatchee;Wenatchee;Wenatchee;Wenatchee;Wenatchee;Wenatchee;Wenatchee;;;X;
PROV4130;Everett;Everett;Everett;Everett;Everett;Everett;Everett;Everett;;;X;
PROV4131;Ephrata;Ephrata;Ephrata;Ephrata;Ephrata;Ephrata;Ephrata;Ephrata;;;X;
PROV4132;Grants Pass;Grants Pass;Grants Pass;Grants Pass;Grants Pass;Grants Pass;Grants Pass;Grants Pass;;;X;
PROV4133;Portland, OR;Portland, OR;Portland, OR;Portland, OR;Portland, OR;Portland, OR;Portland, OR;Portland, OR;;;X;
PROV4134;Bend;Bend;Bend;Bend;Bend;Bend;Bend;Bend;;;X;
PROV4135;Eugene;Eugene;Eugene;Eugene;Eugene;Eugene;Eugene;Eugene;;;X;
PROV4136;La Grande;La Grande;La Grande;La Grande;La Grande;La Grande;La Grande;La Grande;;;X;
PROV4137;Vale;Vale;Vale;Vale;Vale;Vale;Vale;Vale;;;X;
PROV4138;Marshfield;Marshfield;Marshfield;Marshfield;Marshfield;Marshfield;Marshfield;Marshfield;;;X;
PROV4139;Corvallis;Corvallis;Corvallis;Corvallis;Corvallis;Corvallis;Corvallis;Corvallis;;;X;
PROV4140;Hillsboro;Hillsboro;Hillsboro;Hillsboro;Hillsboro;Hillsboro;Hillsboro;Hillsboro;;;X;
PROV4141;Salem, OR;Salem, OR;Salem, OR;Salem, OR;Salem, OR;Salem, OR;Salem, OR;Salem, OR;;;X;
PROV4142;The Dalles;The Dalles;The Dalles;The Dalles;The Dalles;The Dalles;The Dalles;The Dalles;;;X;
PROV4143;Pendleton;Pendleton;Pendleton;Pendleton;Pendleton;Pendleton;Pendleton;Pendleton;;;X;
PROV4144;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;Idaho Falls;;;X;
PROV4145;Boise;Boise;Boise;Boise;Boise;Boise;Boise;Boise;;;X;
PROV4146;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;Lewiston;;;X;
PROV4147;Salmon;Salmon;Salmon;Salmon;Salmon;Salmon;Salmon;Salmon;;;X;
PROV4148;Payette;Payette;Payette;Payette;Payette;Payette;Payette;Payette;;;X;
PROV4149;Twin Falls;Twin Falls;Twin Falls;Twin Falls;Twin Falls;Twin Falls;Twin Falls;Twin Falls;;;X;
PROV4150;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;;;X;
PROV4151;Pocatello;Pocatello;Pocatello;Pocatello;Pocatello;Pocatello;Pocatello;Pocatello;;;X;
PROV4152;Leadore;Leadore;Leadore;Leadore;Leadore;Leadore;Leadore;Leadore;;;X;
PROV4153;Grangeville;Grangeville;Grangeville;Grangeville;Grangeville;Grangeville;Grangeville;Grangeville;;;X;
PROV4154;Miles City;Miles City;Miles City;Miles City;Miles City;Miles City;Miles City;Miles City;;;X;
PROV4155;Billings;Billings;Billings;Billings;Billings;Billings;Billings;Billings;;;X;
PROV4156;Missoula;Missoula;Missoula;Missoula;Missoula;Missoula;Missoula;Missoula;;;X;
PROV4157;Helena;Helena;Helena;Helena;Helena;Helena;Helena;Helena;;;X;
PROV4158;Great Falls;Great Falls;Great Falls;Great Falls;Great Falls;Great Falls;Great Falls;Great Falls;;;X;
PROV4159;Circle;Circle;Circle;Circle;Circle;Circle;Circle;Circle;;;X;
PROV4160;Hysham;Hysham;Hysham;Hysham;Hysham;Hysham;Hysham;Hysham;;;X;
PROV4161;Scobey;Scobey;Scobey;Scobey;Scobey;Scobey;Scobey;Scobey;;;X;
PROV4162;Fort Peck;Fort Peck;Fort Peck;Fort Peck;Fort Peck;Fort Peck;Fort Peck;Fort Peck;;;X;
PROV4163;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;;;X;
PROV4164;Dodson;Dodson;Dodson;Dodson;Dodson;Dodson;Dodson;Dodson;;;X;
PROV4165;Bozeman;Bozeman;Bozeman;Bozeman;Bozeman;Bozeman;Bozeman;Bozeman;;;X;
PROV4166;Lewistown;Lewistown;Lewistown;Lewistown;Lewistown;Lewistown;Lewistown;Lewistown;;;X;
PROV4167;Dillon;Dillon;Dillon;Dillon;Dillon;Dillon;Dillon;Dillon;;;X;
PROV4168;Butte;Butte;Butte;Butte;Butte;Butte;Butte;Butte;;;X;
PROV4169;Casper;Casper;Casper;Casper;Casper;Casper;Casper;Casper;;;X;
PROV4170;Rock Springs;Rock Springs;Rock Springs;Rock Springs;Rock Springs;Rock Springs;Rock Springs;Rock Springs;;;X;
PROV4171;Cheyenne;Cheyenne;Cheyenne;Cheyenne;Cheyenne;Cheyenne;Cheyenne;Cheyenne;;;X;
PROV4172;Cody;Cody;Cody;Cody;Cody;Cody;Cody;Cody;;;X;
PROV4173;Gillette;Gillette;Gillette;Gillette;Gillette;Gillette;Gillette;Gillette;;;X;
PROV4174;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;Douglas;;;X;
PROV4175;Rawlins;Rawlins;Rawlins;Rawlins;Rawlins;Rawlins;Rawlins;Rawlins;;;X;
PROV4176;Evanston;Evanston;Evanston;Evanston;Evanston;Evanston;Evanston;Evanston;;;X;
PROV4177;Fayette;Fayette;Fayette;Fayette;Fayette;Fayette;Fayette;Fayette;;;X;
PROV4178;Jackson, WY;Jackson, WY;Jackson, WY;Jackson, WY;Jackson, WY;Jackson, WY;Jackson, WY;Jackson, WY;;;X;
PROV4179;Afton;Afton;Afton;Afton;Afton;Afton;Afton;Afton;;;X;
PROV4180;Buffalo, WY;Buffalo, WY;Buffalo, WY;Buffalo, WY;Buffalo, WY;Buffalo, WY;Buffalo, WY;Buffalo, WY;;;X;
PROV4181;Lander;Lander;Lander;Lander;Lander;Lander;Lander;Lander;;;X;
PROV4182;Fargo;Fargo;Fargo;Fargo;Fargo;Fargo;Fargo;Fargo;;;X;
PROV4183;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;Bismarck;;;X;
PROV4184;Mandan;Mandan;Mandan;Mandan;Mandan;Mandan;Mandan;Mandan;;;X;
PROV4185;Dickinson;Dickinson;Dickinson;Dickinson;Dickinson;Dickinson;Dickinson;Dickinson;;;X;
PROV4186;Rugby;Rugby;Rugby;Rugby;Rugby;Rugby;Rugby;Rugby;;;X;
PROV4187;Williston;Williston;Williston;Williston;Williston;Williston;Williston;Williston;;;X;
PROV4188;Jamestown, ND;Jamestown, ND;Jamestown, ND;Jamestown, ND;Jamestown, ND;Jamestown, ND;Jamestown, ND;Jamestown, ND;;;X;
PROV4189;Grand Fork;Grand Fork;Grand Fork;Grand Fork;Grand Fork;Grand Fork;Grand Fork;Grand Fork;;;X;
PROV4190;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;Rapid City;;;X;
PROV4191;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;Sioux Falls;;;X;
PROV4192;Philip;Philip;Philip;Philip;Philip;Philip;Philip;Philip;;;X;
PROV4193;Martin;Martin;Martin;Martin;Martin;Martin;Martin;Martin;;;X;
PROV4194;Dupree;Dupree;Dupree;Dupree;Dupree;Dupree;Dupree;Dupree;;;X;
PROV4195;Belle Fourche;Belle Fourche;Belle Fourche;Belle Fourche;Belle Fourche;Belle Fourche;Belle Fourche;Belle Fourche;;;X;
PROV4196;Huron;Huron;Huron;Huron;Huron;Huron;Huron;Huron;;;X;
PROV4197;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;Mitchell;;;X;
PROV4198;Winner;Winner;Winner;Winner;Winner;Winner;Winner;Winner;;;X;
PROV4199;Aberdeen, SD;Aberdeen, SD;Aberdeen, SD;Aberdeen, SD;Aberdeen, SD;Aberdeen, SD;Aberdeen, SD;Aberdeen, SD;;;X;
PROV4200;Gettysburg;Gettysburg;Gettysburg;Gettysburg;Gettysburg;Gettysburg;Gettysburg;Gettysburg;;;X;
PROV4201;Pierre;Pierre;Pierre;Pierre;Pierre;Pierre;Pierre;Pierre;;;X;
PROV4202;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;;;X;
PROV4203;Omaha;Omaha;Omaha;Omaha;Omaha;Omaha;Omaha;Omaha;;;X;
PROV4204;Mullen;Mullen;Mullen;Mullen;Mullen;Mullen;Mullen;Mullen;;;X;
PROV4205;North Platte;North Platte;North Platte;North Platte;North Platte;North Platte;North Platte;North Platte;;;X;
PROV4206;Grand Island;Grand Island;Grand Island;Grand Island;Grand Island;Grand Island;Grand Island;Grand Island;;;X;
PROV4207;Hastings;Hastings;Hastings;Hastings;Hastings;Hastings;Hastings;Hastings;;;X;
PROV4208;O'Neill;O'Neill;O'Neill;O'Neill;O'Neill;O'Neill;O'Neill;O'Neill;;;X;
PROV4209;Valentine;Valentine;Valentine;Valentine;Valentine;Valentine;Valentine;Valentine;;;X;
PROV4210;Kearney;Kearney;Kearney;Kearney;Kearney;Kearney;Kearney;Kearney;;;X;
