##;ENG;FRA;ITA;SPA;GER;POL;;;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV5093;Bassas da India & Ile Europa;Bassas da India & Ile Europa;Bassas da India & Ile Europa;Bassas da India & Ile Europa;Bassas da India & Ile Europa;Bassas da India & Ile Europa;Bassas da India & Ile Europa;Bassas da India & Ile Europa;;;X;
PROV5094;Ile Juan de Nova;Ile Juan de Nova;Ile Juan de Nova;Ile Juan de Nova;Ile Juan de Nova;Ile Juan de Nova;Ile Juan de Nova;Ile Juan de Nova;;;X;
PROV5095;Iles Glorieuses;Iles Glorieuses;Iles Glorieuses;Iles Glorieuses;Iles Glorieuses;Iles Glorieuses;Iles Glorieuses;Iles Glorieuses;;;X;
PROV5096;Tromelin Island;Tromelin Island;Tromelin Island;Tromelin Island;Tromelin Island;Tromelin Island;Tromelin Island;Tromelin Island;;;X;
PROV5097;Aldabra Group;Aldabra Group;Aldabra Group;Aldabra Group;Aldabra Group;Aldabra Group;Aldabra Group;Aldabra Group;;;X;
PROV5098;Farquhar Group;Farquhar Group;Farquhar Group;Farquhar Group;Farquhar Group;Farquhar Group;Farquhar Group;Farquhar Group;;;X;
PROV5099;Vingt Cinq;Vingt Cinq;Vingt Cinq;Vingt Cinq;Vingt Cinq;Vingt Cinq;Vingt Cinq;Vingt Cinq;;;X;
PROV5100;Cargados Carajos Shoals;Cargados Carajos Shoals;Cargados Carajos Shoals;Cargados Carajos Shoals;Cargados Carajos Shoals;Cargados Carajos Shoals;Cargados Carajos Shoals;Cargados Carajos Shoals;;;X;
PROV5101;West Coast of Algeria;West Coast of Algeria;West Coast of Algeria;West Coast of Algeria;West Coast of Algeria;West Coast of Algeria;West Coast of Algeria;West Coast of Algeria;;;X;
PROV5102;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;;;X;
PROV5103;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;;;X;
PROV5104;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;Coast of Algeria ;;;X;
PROV5105;Gulf of Gabes;Gulf of Gabes;Gulf of Gabes;Gulf of Gabes;Gulf of Gabes;Gulf of Gabes;Gulf of Gabes;Gulf of Gabes;;;X;
PROV5106;Coast of Malta;Coast of Malta;Coast of Malta;Coast of Malta;Coast of Malta;Coast of Malta;Coast of Malta;Coast of Malta;;;X;
PROV5107;Gulf of Sidra;Gulf of Sidra;Gulf of Sidra;Gulf of Sidra;Gulf of Sidra;Gulf of Sidra;Gulf of Sidra;Gulf of Sidra;;;X;
PROV5108;Coast of Darna;Coast of Darna;Coast of Darna;Coast of Darna;Coast of Darna;Coast of Darna;Coast of Darna;Coast of Darna;;;X;
PROV5109;Morrocan Slope;Morrocan Slope;Morrocan Slope;Morrocan Slope;Morrocan Slope;Morrocan Slope;Morrocan Slope;Morrocan Slope;;;X;
PROV5110;Gran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-EastGran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-East;Gran Canaria Sea Mounts-East;;;X;
PROV5111;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;Gran Canaria Sea Mounts-North;;;X;
PROV5112;Southern Gran Canaria Approach;Southern Gran Canaria Approach;Southern Gran Canaria Approach;Southern Gran Canaria Approach;Southern Gran Canaria Approach;Southern Gran Canaria Approach;Southern Gran Canaria Approach;Southern Gran Canaria Approach;;;X;
PROV5113;West African Abyssal Plain;West African Abyssal Plain;West African Abyssal Plain;West African Abyssal Plain;West African Abyssal Plain;West African Abyssal Plain;West African Abyssal Plain;West African Abyssal Plain;;;X;
PROV5114;North West African Trench;North West African Trench;North West African Trench;North West African Trench;North West African Trench;North West African Trench;North West African Trench;North West African Trench;;;X;
PROV5115;Coast Of Mauritania;Coast Of Mauritania;Coast Of Mauritania;Coast Of Mauritania;Coast Of Mauritania;Coast Of Mauritania;Coast Of Mauritania;Coast Of Mauritania;;;X;
PROV5116;West African Abyssal Slope;West African Abyssal Slope;West African Abyssal Slope;West African Abyssal Slope;West African Abyssal Slope;West African Abyssal Slope;West African Abyssal Slope;West African Abyssal Slope;;;X;
PROV5117;Bissau Slope;Bissau Slope;Bissau Slope;Bissau Slope;Bissau Slope;Bissau Slope;Bissau Slope;Bissau Slope;;;X;
PROV5118;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;South Asencion Mid-Atlantic Ridge;;;X;
PROV5119;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;Southeastern Pernambuco Plain;;;X;
PROV5120;Western Ascension Fracture Zone;Western Ascension Fracture Zone;Western Ascension Fracture Zone;Western Ascension Fracture Zone;Western Ascension Fracture Zone;Western Ascension Fracture Zone;Western Ascension Fracture Zone;Western Ascension Fracture Zone;;;X;
PROV5121;North Guinea Basin;North Guinea Basin;North Guinea Basin;North Guinea Basin;North Guinea Basin;North Guinea Basin;North Guinea Basin;North Guinea Basin;;;X;
PROV5122;Ivory Coast Slope;Ivory Coast Slope;Ivory Coast Slope;Ivory Coast Slope;Ivory Coast Slope;Ivory Coast Slope;Ivory Coast Slope;Ivory Coast Slope;;;X;
PROV5123;Lagos Shelf;Lagos Shelf;Lagos Shelf;Lagos Shelf;Lagos Shelf;Lagos Shelf;Lagos Shelf;Lagos Shelf;;;X;
PROV5124;Niger Slope;Niger Slope;Niger Slope;Niger Slope;Niger Slope;Niger Slope;Niger Slope;Niger Slope;;;X;
PROV5125;De Pala Sea Mounts;De Pala Sea Mounts;De Pala Sea Mounts;De Pala Sea Mounts;De Pala Sea Mounts;De Pala Sea Mounts;De Pala Sea Mounts;De Pala Sea Mounts;;;X;
PROV5126;Cabinda Shelf;Cabinda Shelf;Cabinda Shelf;Cabinda Shelf;Cabinda Shelf;Cabinda Shelf;Cabinda Shelf;Cabinda Shelf;;;X;
PROV5127;Angola Slope;Angola Slope;Angola Slope;Angola Slope;Angola Slope;Angola Slope;Angola Slope;Angola Slope;;;X;
PROV5128;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;Eastern Ascension Fracture zone;;;X;
PROV5129;North Eastern Ascencion Basin;North Eastern Ascencion Basin;North Eastern Ascencion Basin;North Eastern Ascencion Basin;North Eastern Ascencion Basin;North Eastern Ascencion Basin;North Eastern Ascencion Basin;North Eastern Ascencion Basin;;;X;
PROV5130;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;South Central Southern Mid-Atlantic Ridge;;;X;
PROV5131;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;South Atlantic Mid-Atlantic Ridge Spine;;;X;
PROV5132;St Helena Abyssal Plain;St Helena Abyssal Plain;St Helena Abyssal Plain;St Helena Abyssal Plain;St Helena Abyssal Plain;St Helena Abyssal Plain;St Helena Abyssal Plain;St Helena Abyssal Plain;;;X;
PROV5133;Western Angola Plain;Western Angola Plain;Western Angola Plain;Western Angola Plain;Western Angola Plain;Western Angola Plain;Western Angola Plain;Western Angola Plain;;;X;
PROV5134;America-Antarctic Ridge West;America-Antarctic Ridge West;America-Antarctic Ridge West;America-Antarctic Ridge West;America-Antarctic Ridge West;America-Antarctic Ridge West;America-Antarctic Ridge West;America-Antarctic Ridge West;;;X;
PROV5135;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;America-Antarctic Ridge East Slope;;;X;
PROV5136;South Walvis Ridge;South Walvis Ridge;South Walvis Ridge;South Walvis Ridge;South Walvis Ridge;South Walvis Ridge;South Walvis Ridge;South Walvis Ridge;;;X;
PROV5137;Walvis Ridge;Walvis Ridge;Walvis Ridge;Walvis Ridge;Walvis Ridge;Walvis Ridge;Walvis Ridge;Walvis Ridge;;;X;
PROV5138;North Walvis Ridge;North Walvis Ridge;North Walvis Ridge;North Walvis Ridge;North Walvis Ridge;North Walvis Ridge;North Walvis Ridge;North Walvis Ridge;;;X;
PROV5139;South-East Angola Plain;South-East Angola Plain;South-East Angola Plain;South-East Angola Plain;South-East Angola Plain;South-East Angola Plain;South-East Angola Plain;South-East Angola Plain;;;X;
PROV5140;West Coast of South Africa;West Coast of South Africa;West Coast of South Africa;West Coast of South Africa;West Coast of South Africa;West Coast of South Africa;West Coast of South Africa;West Coast of South Africa;;;X;
PROV5141;Springbok Coast;Springbok Coast;Springbok Coast;Springbok Coast;Springbok Coast;Springbok Coast;Springbok Coast;Springbok Coast;;;X;
PROV5142;South West Coast of South Africa;South West Coast of South Africa;South West Coast of South Africa;South West Coast of South Africa;South West Coast of South Africa;South West Coast of South Africa;South West Coast of South Africa;South West Coast of South Africa;;;X;
PROV5143;Agulhas Plateau;Agulhas Plateau;Agulhas Plateau;Agulhas Plateau;Agulhas Plateau;Agulhas Plateau;Agulhas Plateau;Agulhas Plateau;;;X;
PROV5144;Cape Basin;Cape Basin;Cape Basin;Cape Basin;Cape Basin;Cape Basin;Cape Basin;Cape Basin;;;X;
PROV5145;East Aqulhas Plateau;East Aqulhas Plateau;East Aqulhas Plateau;East Aqulhas Plateau;East Aqulhas Plateau;East Aqulhas Plateau;East Aqulhas Plateau;East Aqulhas Plateau;;;X;
PROV5146;North Eastern Cape Basin;North Eastern Cape Basin;North Eastern Cape Basin;North Eastern Cape Basin;North Eastern Cape Basin;North Eastern Cape Basin;North Eastern Cape Basin;North Eastern Cape Basin;;;X;
PROV5147;South Natal Basin;South Natal Basin;South Natal Basin;South Natal Basin;South Natal Basin;South Natal Basin;South Natal Basin;South Natal Basin;;;X;
PROV5148;West Central Crozet Basin;West Central Crozet Basin;West Central Crozet Basin;West Central Crozet Basin;West Central Crozet Basin;West Central Crozet Basin;West Central Crozet Basin;West Central Crozet Basin;;;X;
PROV5149;North West Crozet Basin;North West Crozet Basin;North West Crozet Basin;North West Crozet Basin;North West Crozet Basin;North West Crozet Basin;North West Crozet Basin;North West Crozet Basin;;;X;
PROV5150;St Denis Sea;St Denis Sea;St Denis Sea;St Denis Sea;St Denis Sea;St Denis Sea;St Denis Sea;St Denis Sea;;;X;
PROV5151;Tromelin Sea;Tromelin Sea;Tromelin Sea;Tromelin Sea;Tromelin Sea;Tromelin Sea;Tromelin Sea;Tromelin Sea;;;X;
PROV5152;Cape Masoala;Cape Masoala;Cape Masoala;Cape Masoala;Cape Masoala;Cape Masoala;Cape Masoala;Cape Masoala;;;X;
PROV5153;Maroantsetra Bay;Maroantsetra Bay;Maroantsetra Bay;Maroantsetra Bay;Maroantsetra Bay;Maroantsetra Bay;Maroantsetra Bay;Maroantsetra Bay;;;X;
PROV5154;North Central Coast of Madagasgar;North Central Coast of Madagasgar;North Central Coast of Madagasgar;North Central Coast of Madagasgar;North Central Coast of Madagasgar;North Central Coast of Madagasgar;North Central Coast of Madagasgar;North Central Coast of Madagasgar;;;X;
PROV5155;East Central Coast of Madagasgar;East Central Coast of Madagasgar;East Central Coast of Madagasgar;East Central Coast of Madagasgar;East Central Coast of Madagasgar;East Central Coast of Madagasgar;East Central Coast of Madagasgar;East Central Coast of Madagasgar;;;X;
PROV5156;Coast of Madagasgar;Coast of Madagasgar;Coast of Madagasgar;Coast of Madagasgar;Coast of Madagasgar;Coast of Madagasgar;Coast of Madagasgar;Coast of Madagasgar;;;X;
PROV5157;South West Coast of Madagasgar;South West Coast of Madagasgar;South West Coast of Madagasgar;South West Coast of Madagasgar;South West Coast of Madagasgar;South West Coast of Madagasgar;South West Coast of Madagasgar;South West Coast of Madagasgar;;;X;
PROV5158;North East Aqulhas Plateau;North East Aqulhas Plateau;North East Aqulhas Plateau;North East Aqulhas Plateau;North East Aqulhas Plateau;North East Aqulhas Plateau;North East Aqulhas Plateau;North East Aqulhas Plateau;;;X;
PROV5159;Moamba Channel;Moamba Channel;Moamba Channel;Moamba Channel;Moamba Channel;Moamba Channel;Moamba Channel;Moamba Channel;;;X;
PROV5160;Morandava Channel;Morandava Channel;Morandava Channel;Morandava Channel;Morandava Channel;Morandava Channel;Morandava Channel;Morandava Channel;;;X;
PROV5161;Ile da India Sea;Ile da India Sea;Ile da India Sea;Ile da India Sea;Ile da India Sea;Ile da India Sea;Ile da India Sea;Ile da India Sea;;;X;
PROV5162;Moamba Channel-North;Moamba Channel-North;Moamba Channel-North;Moamba Channel-North;Moamba Channel-North;Moamba Channel-North;Moamba Channel-North;Moamba Channel-North;;;X;
PROV5163;Juan de Nova Sea;Juan de Nova Sea;Juan de Nova Sea;Juan de Nova Sea;Juan de Nova Sea;Juan de Nova Sea;Juan de Nova Sea;Juan de Nova Sea;;;X;
PROV5164;Dar es Salaam Coast;Dar es Salaam Coast;Dar es Salaam Coast;Dar es Salaam Coast;Dar es Salaam Coast;Dar es Salaam Coast;Dar es Salaam Coast;Dar es Salaam Coast;;;X;
PROV5165;East Zanzibar Channel;East Zanzibar Channel;East Zanzibar Channel;East Zanzibar Channel;East Zanzibar Channel;East Zanzibar Channel;East Zanzibar Channel;East Zanzibar Channel;;;X;
PROV5166;Aldabra Sea;Aldabra Sea;Aldabra Sea;Aldabra Sea;Aldabra Sea;Aldabra Sea;Aldabra Sea;Aldabra Sea;;;X;
PROV5167;East African Sea;East African Sea;East African Sea;East African Sea;East African Sea;East African Sea;East African Sea;East African Sea;;;X;
PROV5168;Farquhar Sea;Farquhar Sea;Farquhar Sea;Farquhar Sea;Farquhar Sea;Farquhar Sea;Farquhar Sea;Farquhar Sea;;;X;
PROV5169;South Mascarene Plateau;South Mascarene Plateau;South Mascarene Plateau;South Mascarene Plateau;South Mascarene Plateau;South Mascarene Plateau;South Mascarene Plateau;South Mascarene Plateau;;;X;
PROV5170;South Somali Basin;South Somali Basin;South Somali Basin;South Somali Basin;South Somali Basin;South Somali Basin;South Somali Basin;South Somali Basin;;;X;
PROV5171;East Somali Basin;North West Indian Ocean;North West Indian Ocean;North West Indian Ocean;North West Indian Ocean;North West Indian Ocean;North West Indian Ocean;North West Indian Ocean;;;X;
PROV5172;Central Coast of Somalia;Central Coast of Somalia;Central Coast of Somalia;Central Coast of Somalia;Central Coast of Somalia;Central Coast of Somalia;Central Coast of Somalia;Central Coast of Somalia;;;X;
PROV5173;Suqutra Archipelago;Suqutra Archipelago;Suqutra Archipelago;Suqutra Archipelago;Suqutra Archipelago;Suqutra Archipelago;Suqutra Archipelago;Suqutra Archipelago;;;X;
PROV5174;Gulf of Aden;Gulf of Aden;Gulf of Aden;Gulf of Aden;Gulf of Aden;Gulf of Aden;Gulf of Aden;Gulf of Aden;;;X;
PROV5175;Anuradhapura;Anuradhapura;Anuradhapura;Anuradhapura;Anuradhapura;Anuradhapura;Anuradhapura;Anuradhapura;;;X;
PROV5176;Jaffna;Jaffna;Jaffna;Jaffna;Jaffna;Jaffna;Jaffna;Jaffna;;;X;
PROV5177;Dhankuta;Dhankuta;Dhankuta;Dhankuta;Dhankuta;Dhankuta;Dhankuta;Dhankuta;;;X;
PROV5178;Nepalganj;Nepalganj;Nepalganj;Nepalganj;Nepalganj;Nepalganj;Nepalganj;Nepalganj;;;X;
PROV5179;Silgadhi;Silgadhi;Silgadhi;Silgadhi;Silgadhi;Silgadhi;Silgadhi;Silgadhi;;;X;
PROV5180;Thimphu;Thimphu;Thimphu;Thimphu;Thimphu;Thimphu;Thimphu;Thimphu;;;X;
PROV5181;Samtwai:;Samtwai:;Samtwai:;Samtwai:;Samtwai:;Samtwai:;Samtwai:;Samtwai:;;;X;
PROV5182;Paletwa;Paletwa;Paletwa;Paletwa;Paletwa;Paletwa;Paletwa;Paletwa;;;X;
PROV5183;Kalewa;Kalewa;Kalewa;Kalewa;Kalewa;Kalewa;Kalewa;Kalewa;;;X;
PROV5184;Supsayang;Supsayang;Supsayang;Supsayang;Supsayang;Supsayang;Supsayang;Supsayang;;;X;
PROV5185;Bangkum;Bangkum;Bangkum;Bangkum;Bangkum;Bangkum;Bangkum;Bangkum;;;X;
PROV5186;Lwing Kaw;Lwing Kaw;Lwing Kaw;Lwing Kaw;Lwing Kaw;Lwing Kaw;Lwing Kaw;Lwing Kaw;;;X;
PROV5187;Kehsi Mansam;Kehsi Mansam;Kehsi Mansam;Kehsi Mansam;Kehsi Mansam;Kehsi Mansam;Kehsi Mansam;Kehsi Mansam;;;X;
PROV5188;Mik Thi La;Mik Thi La;Mik Thi La;Mik Thi La;Mik Thi La;Mik Thi La;Mik Thi La;Mik Thi La;;;X;
PROV5189;Bhamo;Bhamo;Bhamo;Bhamo;Bhamo;Bhamo;Bhamo;Bhamo;;;X;
PROV5190;Ka.sa;Ka.sa;Ka.sa;Ka.sa;Ka.sa;Ka.sa;Ka.sa;Ka.sa;;;X;
PROV5191;Prany;Prany;Prany;Prany;Prany;Prany;Prany;Prany;;;X;
PROV5192;Sarak;Sarak;Sarak;Sarak;Sarak;Sarak;Sarak;Sarak;;;X;
PROV5193;Sa.htum;Sa.htum;Sa.htum;Sa.htum;Sa.htum;Sa.htum;Sa.htum;Sa.htum;;;X;
PROV5194;Mrit;Mrit;Mrit;Mrit;Mrit;Mrit;Mrit;Mrit;;;X;
PROV5195;Comilla;Comilla;Comilla;Comilla;Comilla;Comilla;Comilla;Comilla;;;X;
PROV5196;Silet;Silet;Silet;Silet;Silet;Silet;Silet;Silet;;;X;
PROV5197;Rampur;Rampur;Rampur;Rampur;Rampur;Rampur;Rampur;Rampur;;;X;
PROV5198;Barisal;Barisal;Barisal;Barisal;Barisal;Barisal;Barisal;Barisal;;;X;
PROV5199;Xilsor;Xilsor;Xilsor;Xilsor;Xilsor;Xilsor;Xilsor;Xilsor;;;X;
PROV5200;Tejapur;Tejapur;Tejapur;Tejapur;Tejapur;Tejapur;Tejapur;Tejapur;;;X;
PROV5201;Shillong;Shillong;Shillong;Shillong;Shillong;Shillong;Shillong;Shillong;;;X;
PROV5202;Tura;Tura;Tura;Tura;Tura;Tura;Tura;Tura;;;X;
PROV5203;Dimapur;Dimapur;Dimapur;Dimapur;Dimapur;Dimapur;Dimapur;Dimapur;;;X;
PROV5204;Agortola;Agortola;Agortola;Agortola;Agortola;Agortola;Agortola;Agortola;;;X;
PROV5205;Dawang;Dawang;Dawang;Dawang;Dawang;Dawang;Dawang;Dawang;;;X;
PROV5206;Kocbihar;Kocbihar;Kocbihar;Kocbihar;Kocbihar;Kocbihar;Kocbihar;Kocbihar;;;X;
PROV5207;English Bazar;English Bazar;English Bazar;English Bazar;English Bazar;English Bazar;English Bazar;English Bazar;;;X;
PROV5208;Baharampur;Baharampur;Baharampur;Baharampur;Baharampur;Baharampur;Baharampur;Baharampur;;;X;
PROV5209;Bhagalpur;Bhagalpur;Bhagalpur;Bhagalpur;Bhagalpur;Bhagalpur;Bhagalpur;Bhagalpur;;;X;
PROV5210;Purnia;Purnia;Purnia;Purnia;Purnia;Purnia;Purnia;Purnia;;;X;
PROV5211;Darbhanga;Darbhanga;Darbhanga;Darbhanga;Darbhanga;Darbhanga;Darbhanga;Darbhanga;;;X;
PROV5212;Daltonganj;Daltonganj;Daltonganj;Daltonganj;Daltonganj;Daltonganj;Daltonganj;Daltonganj;;;X;
PROV5213;Hazaribag;Hazaribag;Hazaribag;Hazaribag;Hazaribag;Hazaribag;Hazaribag;Hazaribag;;;X;
PROV5214;Deoghar;Deoghar;Deoghar;Deoghar;Deoghar;Deoghar;Deoghar;Deoghar;;;X;
PROV5215;Mirzapur;Mirzapur;Mirzapur;Mirzapur;Mirzapur;Mirzapur;Mirzapur;Mirzapur;;;X;
PROV5216;Mau;Mau;Mau;Mau;Mau;Mau;Mau;Mau;;;X;
PROV5217;Bahraich;Bahraich;Bahraich;Bahraich;Bahraich;Bahraich;Bahraich;Bahraich;;;X;
PROV5218;Sultanpur;Sultanpur;Sultanpur;Sultanpur;Sultanpur;Sultanpur;Sultanpur;Sultanpur;;;X;
PROV5219;Sitapur;Sitapur;Sitapur;Sitapur;Sitapur;Sitapur;Sitapur;Sitapur;;;X;
PROV5220;Shahjahanpur;Shahjahanpur;Shahjahanpur;Shahjahanpur;Shahjahanpur;Shahjahanpur;Shahjahanpur;Shahjahanpur;;;X;
PROV5221;Muradabad;Muradabad;Muradabad;Muradabad;Muradabad;Muradabad;Muradabad;Muradabad;;;X;
PROV5222;Tehri;Tehri;Tehri;Tehri;Tehri;Tehri;Tehri;Tehri;;;X;
PROV5223;Haldwani;Haldwani;Haldwani;Haldwani;Haldwani;Haldwani;Haldwani;Haldwani;;;X;
PROV5224;Almora;Almora;Almora;Almora;Almora;Almora;Almora;Almora;;;X;
PROV5225;Rampur;Rampur;Rampur;Rampur;Rampur;Rampur;Rampur;Rampur;;;X;
PROV5226;Aligarh;Aligarh;Aligarh;Aligarh;Aligarh;Aligarh;Aligarh;Aligarh;;;X;
PROV5227;Agra;Agra;Agra;Agra;Agra;Agra;Agra;Agra;;;X;
PROV5228;Orai;Orai;Orai;Orai;Orai;Orai;Orai;Orai;;;X;
PROV5229;Farrukhabad;Farrukhabad;Farrukhabad;Farrukhabad;Farrukhabad;Farrukhabad;Farrukhabad;Farrukhabad;;;X;
PROV5230;Banda;Banda;Banda;Banda;Banda;Banda;Banda;Banda;;;X;
PROV5231;Jhasi;Jhasi;Jhasi;Jhasi;Jhasi;Jhasi;Jhasi;Jhasi;;;X;
PROV5232;Ajmer;Ajmer;Ajmer;Ajmer;Ajmer;Ajmer;Ajmer;Ajmer;;;X;
PROV5233;Sikar;Sikar;Sikar;Sikar;Sikar;Sikar;Sikar;Sikar;;;X;
PROV5234;Churu;Churu;Churu;Churu;Churu;Churu;Churu;Churu;;;X;
PROV5235;Hanumangarh;Hanumangarh;Hanumangarh;Hanumangarh;Hanumangarh;Hanumangarh;Hanumangarh;Hanumangarh;;;X;
PROV5236;Sri Ganganagar;Sri Ganganagar;Sri Ganganagar;Sri Ganganagar;Sri Ganganagar;Sri Ganganagar;Sri Ganganagar;Sri Ganganagar;;;X;
PROV5237;Jaisalmer;Jaisalmer;Jaisalmer;Jaisalmer;Jaisalmer;Jaisalmer;Jaisalmer;Jaisalmer;;;X;
PROV5238;Barmer;Barmer;Barmer;Barmer;Barmer;Barmer;Barmer;Barmer;;;X;
PROV5239;Sirohi;Sirohi;Sirohi;Sirohi;Sirohi;Sirohi;Sirohi;Sirohi;;;X;
PROV5240;Bansvara;Bansvara;Bansvara;Bansvara;Bansvara;Bansvara;Bansvara;Bansvara;;;X;
PROV5241;Bhilvara;Bhilvara;Bhilvara;Bhilvara;Bhilvara;Bhilvara;Bhilvara;Bhilvara;;;X;
PROV5242;Pali;Pali;Pali;Pali;Pali;Pali;Pali;Pali;;;X;
PROV5243;Nagaur;Nagaur;Nagaur;Nagaur;Nagaur;Nagaur;Nagaur;Nagaur;;;X;
PROV5244;Jhalavar;Jhalavar;Jhalavar;Jhalavar;Jhalavar;Jhalavar;Jhalavar;Jhalavar;;;X;
PROV5245;Tonk;Tonk;Tonk;Tonk;Tonk;Tonk;Tonk;Tonk;;;X;
PROV5246;Bundi;Bundi;Bundi;Bundi;Bundi;Bundi;Bundi;Bundi;;;X;
PROV5247;Bharatpur;Bharatpur;Bharatpur;Bharatpur;Bharatpur;Bharatpur;Bharatpur;Bharatpur;;;X;
PROV5248;Alvar;Alvar;Alvar;Alvar;Alvar;Alvar;Alvar;Alvar;;;X;
PROV5249;Jullundur;Jullundur;Jullundur;Jullundur;Jullundur;Jullundur;Jullundur;Jullundur;;;X;
PROV5250;Abohar;Abohar;Abohar;Abohar;Abohar;Abohar;Abohar;Abohar;;;X;
PROV5251;Patiala;Patiala;Patiala;Patiala;Patiala;Patiala;Patiala;Patiala;;;X;
PROV5252;Bathinda;Bathinda;Bathinda;Bathinda;Bathinda;Bathinda;Bathinda;Bathinda;;;X;
PROV5253;Bhiwani;Bhiwani;Bhiwani;Bhiwani;Bhiwani;Bhiwani;Bhiwani;Bhiwani;;;X;
PROV5254;Hisar;Hisar;Hisar;Hisar;Hisar;Hisar;Hisar;Hisar;;;X;
PROV5255;Dhankar Gompa;Dhankar Gompa;Dhankar Gompa;Dhankar Gompa;Dhankar Gompa;Dhankar Gompa;Dhankar Gompa;Dhankar Gompa;;;X;
PROV5256;Chamba;Chamba;Chamba;Chamba;Chamba;Chamba;Chamba;Chamba;;;X;
PROV5257;Umaria;Umaria;Umaria;Umaria;Umaria;Umaria;Umaria;Umaria;;;X;
PROV5258;Panna;Panna;Panna;Panna;Panna;Panna;Panna;Panna;;;X;
PROV5259;Tikamgarh;Tikamgarh;Tikamgarh;Tikamgarh;Tikamgarh;Tikamgarh;Tikamgarh;Tikamgarh;;;X;
PROV5260;Guna;Guna;Guna;Guna;Guna;Guna;Guna;Guna;;;X;
PROV5261;Shivpuri;Shivpuri;Shivpuri;Shivpuri;Shivpuri;Shivpuri;Shivpuri;Shivpuri;;;X;
PROV5262;Ujjain;Ujjain;Ujjain;Ujjain;Ujjain;Ujjain;Ujjain;Ujjain;;;X;
PROV5263;Biaora;Biaora;Biaora;Biaora;Biaora;Biaora;Biaora;Biaora;;;X;
PROV5264;Ratlam;Ratlam;Ratlam;Ratlam;Ratlam;Ratlam;Ratlam;Ratlam;;;X;
PROV5265;Mandsaur;Mandsaur;Mandsaur;Mandsaur;Mandsaur;Mandsaur;Mandsaur;Mandsaur;;;X;
PROV5266;Khargone;Khargone;Khargone;Khargone;Khargone;Khargone;Khargone;Khargone;;;X;
PROV5267;Nanded;Nanded;Nanded;Nanded;Nanded;Nanded;Nanded;Nanded;;;X;
PROV5268;Bid;Bid;Bid;Bid;Bid;Bid;Bid;Bid;;;X;
PROV5269;Gulbarga;Gulbarga;Gulbarga;Gulbarga;Gulbarga;Gulbarga;Gulbarga;Gulbarga;;;X;
PROV5270;Mahbubnagar;Mahbubnagar;Mahbubnagar;Mahbubnagar;Mahbubnagar;Mahbubnagar;Mahbubnagar;Mahbubnagar;;;X;
PROV5271;Latur;Latur;Latur;Latur;Latur;Latur;Latur;Latur;;;X;
PROV5272;Akola;Akola;Akola;Akola;Akola;Akola;Akola;Akola;;;X;
PROV5273;Yavatmal;Yavatmal;Yavatmal;Yavatmal;Yavatmal;Yavatmal;Yavatmal;Yavatmal;;;X;
